width;height;bbox
2214;1222;2592487.919078684,1243236.8755474263,2600169.4373448365,1247476.6295317253
2119;1431;2634434.7650150293,1253247.724189079,2640201.5841738665,1257142.1641212618
2345;1339;2609701.887906781,1243854.0163948098,2609755.658613671,1243884.7195830937
2324;1150;2620100.3866444365,1235634.3725141466,2620877.886711173,1236019.1079172224
1927;1130;2593998.0678218324,1228339.826445764,2594271.417421192,1228500.1196721657
2363;1289;2621980.0063208174,1224483.2237369213,2649030.836275831,1239239.2625909257
2233;1233;2610168.4840931194,1246298.958727451,2610589.5659484323,1246531.4683233318
2240;1231;2614958.76325845,1235568.6135962007,2631922.618288914,1244891.1607133888
2365;1112;2617482.9388336707,1239094.1623616423,2621676.115501075,1241065.7532513477
2329;1111;2616655.545683636,1222118.8443535368,2638679.4974153754,1232624.9029082654
2528;1363;2618280.5280486103,1222986.0773055144,2618361.8643228123,1223029.9306843663
2189;1345;2598785.358803885,1227045.1017953607,2600528.8903911654,1228116.3900479383
2325;1299;2591464.4073271924,1231481.7526736422,2631664.4505686103,1253941.905865299
2477;1310;2612833.2732303482,1251234.5237620072,2630509.43829188,1260582.838752159
2159;1342;2610136.1049756412,1253939.056701518,2610200.1719105714,1253978.8796874725
2398;1347;2599641.8595867227,1251557.456177178,2599908.5415252657,1251707.2562485782
2150;1287;2634467.3755997946,1248013.704990935,2636321.9542963826,1249123.8644246603
2135;1111;2610702.5247284635,1243494.1052342132,2613911.6295262384,1245164.0422039218
2412;1283;2606682.3596854545,1223936.3355482875,2608338.877896268,1224817.47686855
2252;1161;2607567.888549519,1251181.5560570075,2607742.9308853485,1251271.7976875133
2156;1236;2612288.6266085957,1238892.5918768488,2612754.658474404,1239159.7604232954
2121;1142;2596532.614675696,1212779.610697439,2601201.1758010294,1215293.2819869868
2349;1226;2616912.5220783884,1256887.8784103445,2616942.406360196,1256903.475740909
2478;1166;2615614.392428432,1226963.851955941,2615688.1006929562,1226998.5346986507
1971;1246;2612320.9779078085,1223668.3763655813,2614765.937893728,1225213.9979497797
2307;1135;2602940.5064609763,1231332.7727794722,2613840.770063315,1236695.4945777617
2094;1181;2605430.423264532,1259954.066262194,2605480.0633854778,1259982.0629111133
2151;1201;2605386.982780155,1225542.5592490584,2605953.366857481,1225858.7969416985
2057;1161;2640482.122187965,1245466.1061901648,2640853.3586668572,1245675.6373287134
2395;1276;2624347.2077025287,1241416.344388995,2625330.386907627,1241940.1592807302
2037;1408;2602122.2417745576,1232897.6491988744,2606168.811387123,1235694.6889703483
2207;1275;2598732.4682692257,1217793.1573730293,2598756.522805517,1217807.0538541218
2324;1282;2601813.9402153413,1222158.2445979544,2601954.6358348397,1222235.857241757
2271;1179;2595783.2817671183,1249734.7709819693,2620587.3271178952,1262611.904169361
2113;1163;2622227.507724505,1241775.1505422455,2625061.064118798,1243334.7464185173
2070;1338;2606819.570590846,1234863.6104143895,2609417.1125574843,1236542.6013087677
2506;1221;2642079.6253338205,1249309.9508709759,2643429.8425311157,1249967.8180688596
1994;1360;2607182.898979347,1248800.9487698104,2613208.9331528107,1252910.9821077797
2214;1186;2603411.0691244807,1225188.5575689815,2616114.645772662,1231993.6352134005
2310;1406;2608088.2332703443,1247726.0992152148,2620305.57510822,1255162.2821693502
2424;1164;2594336.0185412345,1213217.106164599,2608761.799239842,1220144.3374901682
2213;1347;2603648.308870841,1234129.9671338105,2611748.471143785,1239060.34154938
2419;1390;2623815.3068263666,1245339.3314041547,2648165.6960727484,1259331.4938896736
2095;1223;2604435.3506067153,1224862.2740460748,2604478.400092045,1224887.4050821408
1923;1375;2596843.4350929772,1211159.6573014294,2601797.7616280774,1214702.142473433
2049;1175;2634926.894905621,1246254.425627313,2637383.1548339874,1247662.969022057
2422;1217;2603366.7077975236,1235961.0684325988,2603607.9353386275,1236082.2797940867
2277;1195;2636812.523660017,1249001.2448705786,2636837.3959627077,1249014.2981870982
2286;1201;2598857.9372209446,1217754.0482920299,2612844.9139931626,1225102.4118543367
2145;1099;2605223.378081403,1221945.8300481243,2605246.335419716,1221957.5923394086
2377;1429;2610786.5039098114,1233152.5878254187,2612432.285724097,1234141.9955715754
2217;1156;2594772.7292844835,1215409.2748068771,2602970.535576888,1219683.8188186134
1979;1289;2627391.023840562,1241617.9011267473,2627619.9582148823,1241767.0150269486
2284;1382;2609509.4943346777,1221497.7132311538,2647556.7207433884,1244519.2836763547
1999;1416;2616853.3918159823,1231438.897023283,2644478.9070398114,1251007.5461263056
2481;1106;2625997.392502226,1246976.4497549504,2631249.2888566414,1249317.682067721
1972;1248;2619038.3556476654,1221104.2702539929,2632627.3571731234,1229704.2063106725
1965;1339;2632723.073281409,1243513.7124638748,2632821.1957866102,1243580.5755857397
2148;1242;2605391.3725924613,1248143.6579812693,2616561.406188639,1254602.3086919084
2535;1376;2619740.404919881,1253890.318993852,2635811.527426181,1262613.7369696582
2130;1365;2614072.5114584244,1229857.4427298538,2614805.700747954,1230327.3034717354
1930;1184;2619555.1334119793,1241425.3449320234,2623035.8928764444,1243560.6916708453
2034;1161;2629695.3547568754,1246200.6583156404,2631616.6956756175,1247297.3529108516
2020;1390;2618063.734591856,1241825.0614419202,2627658.811870665,1248427.6146189226
2301;1351;2600527.1910499455,1229070.7857397865,2632144.577256645,1247634.492287049
2548;1100;2634972.015745607,1247119.6680898403,2635156.9419171344,1247199.502779275
2460;1337;2601678.8164983126,1232945.2518420236,2603992.1462514843,1234202.537159093
2263;1173;2625010.4126175563,1239962.9024381558,2630652.983203201,1242887.6639480814
2277;1363;2600716.92202027,1235767.6875136187,2603311.1723068883,1237320.5918353847
1988;1337;2612903.715392222,1241591.9762708638,2613238.8307280294,1241817.35313403
2321;1191;2607844.948333659,1223846.2240819316,2636036.655889662,1238312.5419187257
